"TABLE_SCHEMA","TABLE_NAME","ColumnOrder","COLUMN_NAME","DATA_TYPE","CHARACTER_MAXIMUM_LENGTH","NUMERIC_PRECISION","NUMERIC_SCALE","IS_NULLABLE"
"dbo","ContainerTypes",11,"BottomType","nvarchar",10,NA,NA,"NO"
"dbo","ContainerTypes",12,"Icon","nvarchar",30,NA,NA,"YES"
"dbo","Icons",1,"id","int",NA,10,0,"NO"
"dbo","Icons",2,"icon_name","nvarchar",100,NA,NA,"NO"
"dbo","Icons",3,"primary_color","varchar",7,NA,NA,"YES"
"dbo","Icons",4,"svg","nvarchar",-1,NA,NA,"NO"
"dbo","Icons",5,"png_32_b64","varbinary",-1,NA,NA,"YES"
"dbo","Icons",6,"created_at","datetime2",NA,NA,NA,"YES"
"dbo","OfflineReasonTypes",1,"ReasonTypeID","int",NA,10,0,"NO"
"dbo","OfflineReasonTypes",2,"ReasonTypeCode","nvarchar",50,NA,NA,"NO"
"dbo","OfflineReasonTypes",3,"ReasonTypeName","nvarchar",100,NA,NA,"NO"
"dbo","OfflineReasonTypes",4,"Icon","int",NA,10,0,"YES"
"dbo","Operations",1,"OperationID","int",NA,10,0,"NO"
"dbo","Operations",2,"OpCode","nvarchar",30,NA,NA,"NO"
"dbo","Operations",3,"OpName","nvarchar",60,NA,NA,"NO"
"dbo","Operations",4,"RequiresParams","bit",NA,NA,NA,"NO"
"dbo","Operations",5,"ParamsSchemaJSON","nvarchar",2000,NA,NA,"YES"
"dbo","Operations",6,"CreatedAt","datetime2",NA,NA,NA,"NO"
"dbo","Operations",7,"UpdatedAt","datetime2",NA,NA,NA,"NO"
"dbo","Operations",8,"RowVer","timestamp",NA,NA,NA,"NO"
"dbo","ShapeTemplates",1,"ShapeTemplateID","int",NA,10,0,"NO"
"dbo","ShapeTemplates",2,"TemplateCode","nvarchar",40,NA,NA,"NO"
"dbo","ShapeTemplates",3,"ShapeType","nvarchar",10,NA,NA,"NO"
"dbo","ShapeTemplates",4,"Radius","decimal",NA,12,3,"YES"
"dbo","ShapeTemplates",5,"Width","decimal",NA,12,3,"YES"
"dbo","ShapeTemplates",6,"Height","decimal",NA,12,3,"YES"
"dbo","ShapeTemplates",7,"RotationDeg","decimal",NA,6,2,"YES"
"dbo","ShapeTemplates",8,"DefaultFill","nvarchar",20,NA,NA,"YES"
"dbo","ShapeTemplates",9,"DefaultBorder","nvarchar",20,NA,NA,"YES"
"dbo","ShapeTemplates",10,"DefaultBorderPx","int",NA,10,0,"YES"
"dbo","ShapeTemplates",11,"Notes","nvarchar",200,NA,NA,"YES"
"dbo","SiloOfflineEvents",1,"SiloOfflineEventID","int",NA,10,0,"NO"
"dbo","SiloOfflineEvents",2,"SiloID","int",NA,10,0,"NO"
"dbo","SiloOfflineEvents",3,"StartAt","datetime2",NA,NA,NA,"NO"
"dbo","SiloOfflineEvents",4,"EndAt","datetime2",NA,NA,NA,"YES"
"dbo","SiloOfflineEvents",5,"ReasonTypeID","int",NA,10,0,"NO"
"dbo","SiloOfflineEvents",6,"Note","nvarchar",500,NA,NA,"YES"
"dbo","SiloOfflineEvents",7,"CreatedAt","datetime2",NA,NA,NA,"NO"
"dbo","SiloOfflineEvents",8,"UpdatedAt","datetime2",NA,NA,NA,"NO"
"dbo","SiloOfflineEvents",9,"RowVer","timestamp",NA,NA,NA,"NO"
"dbo","SiloPlacements",1,"PlacementID","int",NA,10,0,"NO"
"dbo","SiloPlacements",2,"SiloID","int",NA,10,0,"NO"
"dbo","SiloPlacements",3,"LayoutID","int",NA,10,0,"NO"
"dbo","SiloPlacements",4,"ShapeTemplateID","int",NA,10,0,"NO"
"dbo","SiloPlacements",5,"CenterX","decimal",NA,12,3,"NO"
"dbo","SiloPlacements",6,"CenterY","decimal",NA,12,3,"NO"
"dbo","SiloPlacements",7,"ZIndex","int",NA,10,0,"YES"
"dbo","SiloPlacements",8,"IsVisible","bit",NA,NA,NA,"NO"
"dbo","SiloPlacements",9,"IsInteractive","bit",NA,NA,NA,"NO"
"dbo","SiloPlacements",10,"CreatedAt","datetime2",NA,NA,NA,"NO"
"dbo","Silos",1,"SiloID","int",NA,10,0,"NO"
"dbo","Silos",2,"SiloCode","nvarchar",20,NA,NA,"NO"
"dbo","Silos",3,"SiloName","nvarchar",60,NA,NA,"NO"
"dbo","Silos",4,"Area","nvarchar",40,NA,NA,"YES"
"dbo","Silos",5,"ContainerTypeID","int",NA,10,0,"NO"
"dbo","Silos",6,"VolumeM3","decimal",NA,18,3,"NO"
"dbo","Silos",7,"IsActive","bit",NA,NA,NA,"NO"
"dbo","Silos",8,"Notes","nvarchar",1000,NA,NA,"YES"
"dbo","Silos",9,"CreatedAt","datetime2",NA,NA,NA,"NO"
"dbo","Silos",10,"UpdatedAt","datetime2",NA,NA,NA,"NO"
"dbo","Silos",11,"RowVer","timestamp",NA,NA,NA,"NO"
"dbo","Silos",12,"ShapeID","int",NA,10,0,"YES"
"dbo","Silos",13,"SiteID","int",NA,10,0,"YES"
"dbo","Silos",14,"AreaID","int",NA,10,0,"YES"
"dbo","SiteAreas",1,"AreaID","int",NA,10,0,"NO"
"dbo","SiteAreas",2,"SiteID","int",NA,10,0,"NO"
"dbo","SiteAreas",3,"AreaCode","nvarchar",40,NA,NA,"NO"
"dbo","SiteAreas",4,"AreaName","nvarchar",100,NA,NA,"NO"
"dbo","SiteAreas",5,"Notes","nvarchar",500,NA,NA,"YES"
"dbo","SiteAreas",6,"RowVer","timestamp",NA,NA,NA,"NO"
"dbo","Sites",1,"SiteID","int",NA,10,0,"NO"
"dbo","Sites",2,"SiteCode","nvarchar",20,NA,NA,"NO"
"dbo","Sites",3,"SiteName","nvarchar",100,NA,NA,"NO"
"dbo","Sites",4,"Latitude","decimal",NA,9,6,"YES"
"dbo","Sites",5,"Longitude","decimal",NA,9,6,"YES"
"dbo","Sites",6,"GoogleMapsURL","nvarchar",500,NA,NA,"YES"
"dbo","Sites",7,"IsActive","bit",NA,NA,NA,"NO"
"dbo","Sites",8,"CreatedAt","datetime2",NA,NA,NA,"NO"
"dbo","Sites",9,"UpdatedAt","datetime2",NA,NA,NA,"NO"
"dbo","Sites",10,"RowVer","timestamp",NA,NA,NA,"NO"
"dbo","Sites",11,"AddressLine1","nvarchar",100,NA,NA,"YES"
"dbo","Sites",12,"AddressLine2","nvarchar",100,NA,NA,"YES"
"dbo","Sites",13,"City","nvarchar",60,NA,NA,"YES"
"dbo","Sites",14,"County","nvarchar",60,NA,NA,"YES"
"dbo","Sites",15,"Postcode","nvarchar",10,NA,NA,"YES"
"dbo","vw_SiloCanvas",1,"PlacementID","int",NA,10,0,"NO"
"dbo","vw_SiloCanvas",2,"SiloID","int",NA,10,0,"NO"
"dbo","vw_SiloCanvas",3,"SiloCode","nvarchar",20,NA,NA,"NO"
"dbo","vw_SiloCanvas",4,"SiloName","nvarchar",60,NA,NA,"NO"
"dbo","vw_SiloCanvas",5,"VolumeM3","decimal",NA,18,3,"NO"
"dbo","vw_SiloCanvas",6,"IsOffline","bit",NA,NA,NA,"NO"
"dbo","vw_SiloCanvas",7,"OfflineReason","nvarchar",200,NA,NA,"YES"
"dbo","vw_SiloCanvas",8,"LayoutID","int",NA,10,0,"NO"
"dbo","vw_SiloCanvas",9,"LayoutName","nvarchar",60,NA,NA,"NO"
"dbo","vw_SiloCanvas",10,"WidthUnits","int",NA,10,0,"NO"
"dbo","vw_SiloCanvas",11,"HeightUnits","int",NA,10,0,"NO"
"dbo","vw_SiloCanvas",12,"ShapeType","nvarchar",10,NA,NA,"NO"
"dbo","vw_SiloCanvas",13,"CenterX","decimal",NA,12,3,"NO"
"dbo","vw_SiloCanvas",14,"CenterY","decimal",NA,12,3,"NO"
"dbo","vw_SiloCanvas",15,"Radius","decimal",NA,12,3,"YES"
"dbo","vw_SiloCanvas",16,"Width","decimal",NA,12,3,"YES"
"dbo","vw_SiloCanvas",17,"Height","decimal",NA,12,3,"YES"
"dbo","vw_SiloCanvas",18,"RotationDeg","decimal",NA,6,2,"YES"
"dbo","vw_SiloCanvas",19,"FillColor","nvarchar",20,NA,NA,"YES"
"dbo","vw_SiloCanvas",20,"BorderColor","nvarchar",20,NA,NA,"YES"
"dbo","vw_SiloCanvas",21,"BorderPx","int",NA,10,0,"YES"
"dbo","vw_SiloCanvas",22,"ZIndex","int",NA,10,0,"YES"
"dbo","vw_SiloCanvas",23,"IsVisible","bit",NA,NA,NA,"NO"
"dbo","vw_SiloCanvas",24,"IsInteractive","bit",NA,NA,NA,"NO"
"dbo","vw_SilosWithStatus",1,"SiloID","int",NA,10,0,"NO"
"dbo","vw_SilosWithStatus",2,"SiloCode","nvarchar",20,NA,NA,"NO"
"dbo","vw_SilosWithStatus",3,"SiloName","nvarchar",60,NA,NA,"NO"
"dbo","vw_SilosWithStatus",4,"LegacyAreaText","nvarchar",40,NA,NA,"YES"
"dbo","vw_SilosWithStatus",5,"AreaID","int",NA,10,0,"YES"
"dbo","vw_SilosWithStatus",6,"AreaCode","nvarchar",40,NA,NA,"YES"
"dbo","vw_SilosWithStatus",7,"AreaName","nvarchar",100,NA,NA,"YES"
"dbo","vw_SilosWithStatus",8,"SiteID","int",NA,10,0,"YES"
"dbo","vw_SilosWithStatus",9,"SiteCode","nvarchar",20,NA,NA,"YES"
"dbo","vw_SilosWithStatus",10,"SiteName","nvarchar",100,NA,NA,"YES"
"dbo","vw_SilosWithStatus",11,"SiteLatitude","decimal",NA,9,6,"YES"
"dbo","vw_SilosWithStatus",12,"SiteLongitude","decimal",NA,9,6,"YES"
"dbo","vw_SilosWithStatus",13,"ContainerTypeID","int",NA,10,0,"NO"
"dbo","vw_SilosWithStatus",14,"ShapeID","int",NA,10,0,"YES"
"dbo","vw_SilosWithStatus",15,"VolumeM3","decimal",NA,18,3,"NO"
"dbo","vw_SilosWithStatus",16,"IsActive","bit",NA,NA,NA,"NO"
"dbo","vw_SilosWithStatus",17,"Notes","nvarchar",1000,NA,NA,"YES"
"dbo","vw_SilosWithStatus",18,"CreatedAt","datetime2",NA,NA,NA,"NO"
"dbo","vw_SilosWithStatus",19,"UpdatedAt","datetime2",NA,NA,NA,"NO"
"dbo","vw_SilosWithStatus",20,"RowVer","timestamp",NA,NA,NA,"NO"
"dbo","vw_SilosWithStatus",21,"IsOffline","bit",NA,NA,NA,"YES"
"dbo","vw_SilosWithStatus",22,"OfflineSince","datetime2",NA,NA,NA,"YES"
"dbo","vw_SilosWithStatus",23,"OfflineReasonType","nvarchar",50,NA,NA,"YES"
"dbo","vw_SilosWithStatus",24,"OfflineNote","nvarchar",500,NA,NA,"YES"
